agentive-figure;['kereke ea chache'];Kereke ea Chache
agentive-physical-object;['dimela'];Dimela
agentive-physical-object;['mmutla'];Mmutla, Mmutla - ke phologolo e tsebe di leele.
agentive-physical-object;['phiri'];Phiri e nang le matheba ke phoofolo e anyesang ea Afrika e kang ntja e nang le lithupa tse ka pele tse telele ho feta maoto a ka morao le moetse o emeng.
agentive-physical-object;['katse', 'felis silvestris catus'];Katse ke phoofolo e ruuang ke batho ba bangata ho tshwana le Ntja.
agentive-physical-object;['tlou', 'tlôu'];Tlôu, Loxodonta africana, phôôfôlô e sa otlego.
agentive-physical-object;['nkwe', 'panthera pardus', 'nkwê'];Nkwê, Panthera pardus, phôôfôlô e sa otlego.
agentive-physical-object;['tau', 'panthera leo'];Tau, Panthera leo, phôôfôlô e sa otlego.
agentive-physical-object;['tšukulu'];Tšukulu/Tshukudu
agentive-physical-object;['minnie mouse'];Minnie Mouse ba 1928 puo Walt Disney ke Mickey Mouse ke The Walt Disney Company.
cognitive-modal-description;['bokominisi', 'bokôminisii', 'bokôminisi'];Bokôminisi, bopôlôtiki kgopolô ke Karl Marx me Friedrich Engels.
ecological-collective;['dimela'];Dimela
geographical-object;['amerika borwa'];Dubrovnik ke motse wa Kroatia, ka Uropa.
geographical-object;['amerika borwa'];Amerika Borwa ke kontinente.
geographical-object;['amerika', 'amêrika'];Amêrika, naga ka legôhlê.
information-realization;['bebele', 'bibele', "lord's prayer", 'mong ga thapêlô'];GeBeverley nese
language;['dipuo', 'puo'];Seburu (Seafrekanse)
language;['senyesemane', 'english', 'seisemane'];Senyesemane ke puo ea Jeremane Bophirima e ileng ea buuoa ka lekhetlo la pele ka Anglo-Saxon Engelane lilemong tsa pele tsa bohareng.
language;['seburu', 'seafrekanse'];Seburu ke mmolêlô ka Afrikaners le MaColoured ka Afrika Borwa.
language;['se-china'];Se-china, mmolêlô ka Tjhaena.
language;['setswana'];Setswana ke mmolêlô/sepuo sa Batswana.
language;['segerike'];Segerike, mmolêlô ka Gerike.
language;['se-jeremane', 'sejeremane'];Se-jeremane, mmolêlô ka Jeremane.
language;['se-dutch'];Se-dutch ke mmolêlô ka Hôlanê.
locative-role;['ho chi minh city'];Ho Chi Minh City ke motsemoholo wa Vietnam, ka Asia.
locative-role;['serbia', 'србија'];Serbia ke naha wa Uropa e nang le baahi ba fetang 7.120.666 ka palo.
locative-role;['dubrovnik'];Dubrovnik ke motse wa Kroatia, ka Uropa.
locative-role;['lituania'];Lituania (lt.
locative-role;['kraków'];Kraków ke toropo wa Poland, ka Uropa.
locative-role;['chicago'];Chicago ke batlile holo motse ba borwa USA.
locative-role;['wales'];Naha ea Wales e Uropa.
locative-role;['botjhabela bohare'];Botjhabela Bohare
locative-role;['rio de janeiro'];Rio de Janeiro ke batlile holo motse ba Brazil.
parameter;['onchocerciasis'];Onchocerciasis, e tsejwang hape ele river blindness le bolwetse ba Robles, ke bolwetse bo bakwang ke tshwaetso ya seboko sa senwamadi sa Onchocerca volvulus.
phenomenon;['mohlakase', 'motlakase'];Mohlakase e bitswa electricity ka Senyesemane.
physical-body;['lefatshe'];Lefatshe ke polanete ya boraro ka bogolo go tloga letsatsing.
political-geographic-object;['ho chi minh city'];Ho Chi Minh City ke motsemoholo wa Vietnam, ka Asia.
political-geographic-object;['norge', 'kongeriket noreg', 'kongeriket norge', 'noreg'];Norge ke naha ya Uropa e nang le badudi ba fetang 5 267 146 ka palo.
