activity;['foutbal', 'foutbaal', 'fussball'];Balspil
agentive-physical-object;['stoarksbrood', 'claviceps purpurea'];Skimmel, die der ap do Ieren fon Roage un Weete woaksen däd
locative-role;['monaco'];Lound in Europa
locative-role;['chicago'];Stääd in dän amerikoanisken Buundesstoat Illinois
political-geographic-object;['niederlounde'];Lound in Wääst-Europa
political-geographic-object;['monaco'];Lound in Europa
political-geographic-object;['frankriek'];Lound in Europa
political-geographic-object;['chicago'];Stääd in dän amerikoanisken Buundesstoat Illinois
political-geographic-object;['finlound'];N Lound in Wääst-Europa
political-geographic-object;['phoenix'];Stääd in dän amerikoanisken Buundesstoat Arizona
socially-constructed-person;['dante gabriel rossetti'];Wikimedia:Bigriepskloorenge
taxonomic-collective;['charales'];Wikimedia-Kategorie
temporal-region;['ieserntied'];Tied in ju Geskichtsskrieuwenge, weer do Moanskene mäd iesernen Reeskup begonnen tou oarbaidjen
temporal-region;['1. januoar', '1. januar'];Doatum
temporal-region;['25. dezember', 'wienoachten'];Doatum
temporal-region;['19. meerte'];Doatum
temporal-region;['14. april'];Doatum
temporal-region;['4. juli'];Doatum
temporal-region;['iestied'];Tied in ju Waareldgeskichte weerbie ju Temperatuur fon ju Äidbupperkaante un ju Äid-Atmosphäre redusiert is
temporal-region;['1. august'];Doatum
temporal-region;['14. juni'];Doatum
temporal-region;['29. september'];Doatum
temporal-region;['21. juni'];Doatum
temporal-region;['1. moai'];Doatum
temporal-region;['2. meerte', '2. märz'];Doatum
temporal-region;['29. februoar'];Doatum
temporal-region;['23. juni'];Doatum
