activity;['ucing sumput', 'cing sumput', 'cingsumput'];kaulinan budak
activity;['sondah'];Kaulinan budak Sunda
activity;['positron emisi tomografi'];Teknik pencitraan fungsional kedokteran
agentive-physical-object;['anjenk', 'yoooo'];Toronkan
amount-of-matter;['asam klorida', 'asam muriatat', 'hcl'];Asam mineral kuat, korosif pisan, dina palarut cai
biological-object;['rosigold'];kultivar mangga
biological-object;['ginjal', 'ᮌᮤᮔ᮪ᮏᮜ᮪'];Organ jero awak manusa
biological-object;['buah', 'bungbuahan'];bagian tatangkalan
event;['sunami', 'tsunami'];Balahi ci laut nu ngagulidag ka darat
functional-matter;['aci sampeu', 'sampeu', 'singkong', 'kanji', 'tapioka', 'aci hui'];aci atawa tipung tina sampeu
functional-matter;['rosigold'];kultivar mangga
geographical-object;['pangéa', 'pangaéa', 'pangaea', 'pangea'];Superbuana 300 juta taun ka tukang
geographical-object;['gondwana'];Superbuana kidul hasil pisahan Pangéa
geographical-object;['laurasia'];Superbuana kalér hasil pisahan Pangéa
geographical-object;['gila'];walungan di Amérika Sarikat
geographical-object;['walungan thames', 'thames'];walungan di Britania Raya
information-object;['kecap sulur', 'kecap gaganti ngaran'];Kecap anu dipaké pikeun gaganti (nyuluran) kecap barang
language;['basa pastun'];Basa
language;['basa indonésia', 'id', 'bahasa indonesia', 'basa indonesia'];Basa nasional di Indonésia
language;['basa jérman', 'basa jerman'];Basa
locative-role;['kota bandung', 'bandung'];Kota di Propinsi Jawa Kulon, Indonésia
locative-role;['münchen', 'munchen', 'munich'];Kota di Bayern, Jérman
physical-body;['marcapada', 'earth', 'mayapada'];Planét katilu dina Sistim Tatasurya
physical-object;['tatah'];Pakarang tukang bas
political-geographic-object;['kota bandung', 'bandung'];Kota di Propinsi Jawa Kulon, Indonésia
political-geographic-object;['éswatini', 'eswatini', 'swaziland'];nagara di Afrika
political-geographic-object;['jérman wétan', 'ddr', 'républik démokratik jérman'];urut nagara di Éropa Tengah nu ngadeg taun 1949 nepi ka 1990
political-geographic-object;['indonésia', 'hindia-walanda', 'républik indonésia', 'hindia walanda', 'indonesia'];Nagara di Asia Tenggara
political-geographic-object;['bérlin', 'bérlin, jérman', 'berlin'];Ibu kota Jérman
political-geographic-object;['münchen', 'munchen', 'munich'];Kota di Bayern, Jérman
socially-constructed-person;['dante gabriel rossetti'];Wikimedia:Disambiguasi
socially-constructed-person;['bill clinton', 'president clinton', 'william jefferson clinton'];présidén Amérika Sarikat taun 1993-2001
socially-constructed-person;['pamayang'];Pakasaban di laut
spatial-feature;['alpen', 'alps'];Sistim pagunungan gedé di Éropa Tengah
taxonomic-collective;['monera'];karajaan prokariot
taxonomic-collective;['charales'];kategori Wikimédia
temporal-region;['kénozoikum', 'cenozoic', 'cenozoic era', 'kenozoikum', 'neozoikum', 'senozoikum', 'éra kénozoikum', 'néozoikum', 'sénozoikum'];Éra katilu ti éon Fanérozoikum saenggeus Éra Mésozoikum
temporal-region;['trias', 'periode trias', 'periodé trias', 'périodeu trias', 'triassic', 'triassic period'];Périodeu kahiji dina Éra Mésozoikum
temporal-region;['paléozoikum', 'éra paléozoikum', 'jaman paléozoikum', 'palaeozoic', 'palaeozoikum', 'palaéozoikum', 'paleozoic', 'paleozoic era', 'paleozoikum'];Éra kahiji ti éon Panérozoikum sateuacan Éra Mésozoikum
temporal-region;['kapur', 'cretaceous', 'cretaceous period', 'jaman kapur', 'periode kapur', 'périodeu kapur'];Périodeu katilu sareng pamungkas ti Éra Mésozoikum
temporal-region;['prakambrium', 'jaman prakambrium', 'superéon prakambrium'];Superéon anu lumangsung ti 4,6 miliar dugi ka 541 juta taun ka tukang.
