abstract-region;['uoperand', 'operand'];We matymatyce, uoperand to argůmynt uoperatora.
activity;['przedrostek si'];Przedrostek SI – prefiks, co ôkryślŏ wielokrotności i podwielokrotności jednostek miŏr ôpartych ô systym metryczny.
activity;['fusbal'];Fusbal (ang.
activity;['film'];Film – seryjŏ nastympujōncych po sie ôbrazōw z klangym abo bez klangu, wyrażajōncych ôkryślōne treści, utrwalonych na tregrze wywołujōncym wrażynie ruchu.
activity;['trzi karty', 'tři karty'];Trzi karty – rodzaj uoszydzańo, kere mo pozory gry hazardowyj.
activity;['korbbal', 'korbal', 'korbball', 'košykůwka'];Korbbal to je zespołowy szpil, we kery grajům dwa manszafty, po pjyńć szpilerów kożdy.
activity;['golf'];Golf – szport, we kery gro śe na uodymkńyntych trowjastych terynach a spolygo uůn na wćepowańu mołygo Bala do ńywjelgich dźurůw we źymji, bez piźńyńća go ekstra knebulcůma.
activity;['flipper', 'pinball'];Flipper to je urzůndzyńe ze zorty autůmatůw do szpili, we kerym chodźi uo to co by ńy dozwolić metalowyj kugle citnůńć ze stoła bez uotwůr na jygo spodku.
activity;['ajshokej', 'hokej na lodźe'];Ajshokej – zorta szportu manszaftowygo, we kerym szpilery kjouzdajům na szlynzuchach, trzimjům we łapach hokejkryka a muszům wćepować krůnżek do budy, na keryj durch stoji tormůn.
activity;['tyńis źymny'];Tyńis źymny – gra športowo, kero je rozgrywano na korće tyńisowym, polygajůnca na přebijańu raketům tyńisowům bali bez nec na pole přećiwńika, tak, coby utrudńić jeji uodbjůr.
activity;['yntki do wody'];Yntki do wody – dyscyplina szportowo, kero uobejmuje yntki s trampoliny a s wjeży.
activity;['absztimůng', 'abštimůng'];Absztimůng – to je forma wotůngu bezpostrzedńigo, nojbliższo idyje dymokracyje bezpostrzedńij.
activity;['hyca'];Hyca – zorta pogody, przi keryj tymperatura luftu je przez +30 °C.
activity;['rok', 'rock'];Rok (ang.
activity;['ii wojna śwjatowo', 'drugo wojna śwjatowo', 'drůgo wojna śwjatowo'];Drůgo wojna śwjatowo – nojsrogszy kůnflikt zbrojny we historyji śwjata, kery trwoł uod 1 wrześńo 1939 do 2 wrześńo 1945 a uobejmowoł zaśyngym wojynnych działań bezma coko Ojropa, wschodńo a połedńowo-wschodńo Azyjo, půłnocno Afrika, tajle Bliskigo Wschodu a wszyjske uoceany.
activity;['i wojna śwjatowo'];Pjyrszo wojna śwjatowo – kůnflikt zbrojny, kery trwoł uod 28 lipca 1914 do 11 listopada 1918 a uobejmowoł zaśyngym wojynnych działań bezma coko Ojropa, Azyjo, Afrika a wszyjske uoceany.
activity;['szport', 'šport'];Szport to sům roztomajte formy fizycznyj a filipowyj aktywnośći, kere sům podejmowane lo szpasu abo lo rywalizacyje.
activity;['kryngle'];Kryngle (ang.
