language;['rusko godka', 'rosyjsko godka', 'ruskŏ gŏdka'];słowiańska godka
political-geographic-object;['wielgŏ brytanijŏ', 'uk', 'zjednoczōne krōlestwo wielgij brytanije a pōłnocnyj irlandyje', '🇬🇧', 'wjelgo brytańijo', 'wjelgo brytańja', 'wjelgŏ brytaniyjŏ', 'zjydnočůne krůlestwo'];państwo we Zachodnij Ojropie
political-geographic-object;['polsko', 'polska', 'polskŏ'];Państwo we szczodkowyj Ojropje
region;['7'];Naturalno nůmera
socially-constructed-person;['dante gabriel rossetti'];Wikimedia:Zajta ujednoznaczńajůnco
subject;['systymatyka ôrganizmōw'];nauka, co sie pŏrŏ klasyfikowaniym, katalogowaniym jak tyż ôpisowaniym ôrganizmōw
temporal-region;['1 lipca'];Data
temporal-region;['1 styczńa', '1 styczńo', '1 styčńa'];Data
temporal-region;['2 lutygo'];Data
temporal-region;['1 listopada', 'wszyjskich śwjyntych', 'wšyjstkich śwjyntych'];Data
temporal-region;['19 marca'];Data
temporal-region;['14 kwjetńa'];Data
temporal-region;['1 moja', '1 maja'];Data
temporal-region;['2 marca'];Data
temporal-region;['29 lutygo'];Data
temporal-region;['6 styczńa'];Data
