biological-object;['పిడికిలి', 'ముష్టి', 'గుప్పెడు'];వేళ్ళని మూసివుంచిన చేయి.
biological-object;['శరీరం'];మనుషుల లేదా జంతువుల యొక్క భౌతిక నిర్మాణం.
biological-object;['ముఖం', 'ముఖము', 'మొగము'];కళ్ళు, ముక్కు మరియు నోరుని కలిగివుండే తల యొక్క ముందు భాగం.
biological-object;['నుదురు', 'నొసలు', 'లలాటము'];కనుబొమలకి మరియు వెంట్రుకలకి మధ్య ఉన్న ముఖ భాగము.
biological-object;['ముంజేయి'];మణికట్టుకి మరియు మోచేయికి మధ్య ఉంటే బాహు భాగము.
event;['మ్యావ్'];పిల్లి అరుపు.
language;['కన్నడ భాష', 'కన్నడ', 'కన్నడము', 'కన్నడం'];ప్రధానంగా భారతదేశం లోని కర్నాటక రాష్ట్రంలో మాట్లాడే ఒక ద్రవిడ భాష.
language;['మరాఠీ', 'మరాఠీ భాష', 'మరాఠి'];పశ్చిమ మరియు దక్షిణ భారతదేశంలో మాట్లాటే ఒక భారతీయ భాష.
language;['కొరియన్', 'కొరియన్ భాష'];ప్రధానంగా ఉత్తర మరియు దక్షిణ కొరియాలలో మాట్లాడే బాష.
language;['పంజాబీ భాష', 'పంజాబీ', 'పంజాబీ language'];భారతదేశం పంజాబ్ ప్రాంతాలలో ప్రధానంగా మరియు పాకిస్తాన్‌లో మాట్లాడే భారతీయ భాష
language;['హిందీ', 'హిందీ భాష'];ప్రధానంగా భారతదేశం లోని ఉత్తర మరియు మధ్య భాగాలలో మాట్లాడే భారతీయ భాష
non-agentive-physical-object;['ఉంగరం', 'ఉంగరము', 'ఉంగరాలు'];వేలికి తొడుక్కునే గుండ్రని (విలువైన) లోహ విశేషము.
organized-collection;['గ్రంథాలయం', 'గ్రంథాలయము', 'గ్రంధాలయం', 'గ్రంధాలయము', 'లైబ్రరీ'];పుస్తకాలు మరియు ఇతర సాహిత్య సమాచారాన్ని భద్రపరచివుంచే స్థలం
parameter;['ఆమ్ల వర్షం', 'ఆమ్లవర్షం', 'ఆమ్లవర్షాలు'];pH స్థాయి 5.6 కంటే తక్కువగా ఉన్న వర్షం.
physical-body;['భూమి', 'భూగోళం', 'భూగ్రహం', 'కువలయము', 'ధరణి', 'ధార్తి', 'పుడమి', 'ప్రుద్వి', 'అవని', 'ధరిత్రి', 'వసుంధర'];మన సౌర కుటుంబంలో (మధ్య నుండి) మూడవ గ్రహం.
physical-object;['గోడ గడియారం'];గోడకి అమర్చబడిన గడియారము.
physical-object;['కట్టడము', 'భవనము', 'భవనం', 'కట్టడం', 'భవంతి'];ఇల్లు లేదా కర్మాగారం వంటి గోడలు మరియు పైకప్పు ఉన్న నిర్మాణం.
physical-object;['మంత్రి', 'రాణి'];చదరంగంలో అడ్డంగా, నిలువుగా మరియు ఐమూలగా ఎన్ని గళ్ళైనా వెళ్ళగలిగిన అత్యంత శక్తివంతమైన పావు.
political-geographic-object;['స్పెయిన్', 'స్పెయిన', 'స్పేన్', 'ఎస్పానా'];పశ్చిమ ఐరోపా లోని ఒక దేశం.
political-geographic-object;['బురుండి', 'బురూండీ', 'burundí', 'బురుండీ'];ఒక తూర్పు ఆఫ్రికా దేశం.
political-geographic-object;['జర్మనీ', 'ఙర్మని', 'జెర్మని', 'జెర్మనీ'];బెర్లిన్ రాజధానిగా గల మధ్య ఐరోపా దేశం.
political-geographic-object;['భారత దేశం', 'ఇండియా', 'భారతదేశం', 'భారత దేశము', 'భారత్', 'హిందూస్థాన్', 'india', 'భారత', 'భారత డొమినియన్', 'భారత దేశం\u200d\u200d', 'భారతదేశము', 'భారత్\u200c'];కొత్త ఢిల్లీ రాజధానిగా గల దక్షిణ ఆసియా లోని ఓ దేశం.
political-geographic-object;['బెర్లిన్', 'berlín'];జర్మనీ దేశం యొక్క రాజధాని నగరం, విస్తీర్ణంలోనూ మరియు జనాభాలోనూ ఆ దేశపు అత్యంత పెద్ద నగరం, మరియు ఐరోపా సమాఖ్యలో జనభాపరంగా రెండవ పెద్ద నగరం.
quality;['దూరం', 'దూరము', 'ఎడము', 'పొడవు'];రెండు బిందువుల మధ్య ఉన్న ఖాళీ.
region;['అడుగు', 'అడుగులు'];పన్నెండు అంగుళాలకు మరియు ఒక యార్డులో మూడవ వంతుకి (లేదా ఖచ్చితంగా 30.48 సెంటీమీటర్లకి) సమానమైన ఒక దూరమానము.
region;['గంట'];అరవై నిమిషాల కాలము. ఒక రోజులో ఇరవై నాల్గవ వంతు.
region;['నిమిషము', 'నిమిషం', 'ని.'];అరవై క్షణాలకి మరియు ఒక గంటలో అరవైయ్యవ వంతుకి సమానమైన ఒక కాలమానం.
region;['రూపాయి', 'భారత రూపాయి', 'భారతదేశ రూపాయి', 'భారతీయ రూపాయి'];భారతదేశపు మారక ద్రవ్యం.
region;['రూపాయి'];మారిషస్ మారక ద్రవ్యం.
region;['రూపాయి'];నేపాల్ దేశపు మారక ద్రవ్యం.
region;['లక్ష', '100000'];నూరు వేలు లేదా వేయి నూర్లు.
region;['ప్రాథమిక సంఖ్య'];రాశిని సూచించడానికి ఉపయోగించే సంఖ్య.
situation;['ఆమ్ల వర్షం', 'ఆమ్లవర్షం', 'ఆమ్లవర్షాలు'];pH స్థాయి 5.6 కంటే తక్కువగా ఉన్న వర్షం.
socially-constructed-person;['వ్యక్తి', 'మనిషి', 'మానవుడు'];ఒక మనిషి.
socially-constructed-person;['తెలుఁగు', 'తెలుగు'];ప్రధానంగా దక్షిణ భారతదేశంలో మాట్లాడే ద్రవిడ భాష
socially-constructed-person;['అక్క', 'తోబుట్టువు', 'పూర్వజ', 'పెద్ద అక్కయ్య', 'పెద్దక్క', 'పెద్దక్కయ్య'];ఒకే తల్లిదండ్రుల సంతానంలోని వ్యక్తి.
socially-constructed-person;['ప్రసిద్ధుడు', 'సెలబ్రిటీ', 'తార', 'ప్రముఖుడు'];చెప్పుకోదగ్గ లేదా ప్రసిద్ధమైన వ్యక్తి, సాధారణంగా నటులు లేదా ఆటగాళ్ళు.
