activity;['ҷанги дуюми ҷаҳон', 'ҷанги дуюми ҷаҳонӣ', 'ҷанги ҷаҳонии дувум'];Саҳифаи маъноҳои Викимедиа
activity;['покер', 'póker'];Як намуди бозии кортӣ
activity;['шуғл', 'кор', 'машғулият', 'пеша'];Тарзи машғулият
agentive-figure;['девон', 'divan'];Саҳифаи феҳристӣ
agentive-figure;['давлат', 'кишвари мустақил', 'миллат', 'давлати мустақил', 'ҳукумат'];Сохтори ҳудудии ҷомеаи одамон
agentive-figure;['иттиҳоди давлатҳои муштаракулманофеъ', 'идм', 'иттиҳоди давлатҳои мустақил'];созмони байналмилалӣ, ки баъди пошхӯрии Иттиҳоди Шӯравӣ таъсис ёфтааст
agentive-figure;['иттиҳоди шӯравӣ', 'иттиҳоди ҷумҳуриҳои шӯравии сосиалистӣ', 'ирсс', 'иттифоқи республикаҳои советии сотсиалистӣ', 'иттифоқи советӣ', 'иҷшс', 'cccp', 'давлати советӣ', 'давлати шӯравӣ', 'и.р.с.с', 'и.р.ш.с', 'и.ш.', 'и.ҷ.с.с.', 'и.ҷ.ш.с.', 'иршс', 'ис', 'иттифоқи республикаҳои шӯравии сотсиалистӣ', 'иттифоқи советҳо', 'иттифоқи шӯравӣ', 'иттифоқи ҷамоҳири советии сотсиалистӣ', 'иттифоқи ҷамоҳири шӯравии сотсиалистӣ', 'иттифоқи ҷумҳуриҳои советии сотсиалистӣ', 'иттифоқи ҷумҳуриҳои шӯравии сотсиалистӣ', 'иттиҳоди республикаҳои советии сотсиалистӣ', 'иттиҳоди республикаҳои шӯравии сотсиалистӣ', 'иттиҳоди советӣ', 'иттиҳоди ҷамоҳири шӯравии сотсиалистӣ', 'иш', 'иҷсс', 'с.с.с.р', 'советский союз', 'советҳо', 'союз советских социалистических республик', 'союзи советӣ', 'сс', 'сср', 'шӯравӣ', 'давлати шӯрави', 'иттифоқи ҷумҳуриҳои сосиалистии шӯравӣ', 'иттифоқи ҷумҳуриҳои шӯрави сотсиалистӣ', 'иттифоқӣ шурави', 'иттифоқӣ шуравӣ', 'иттиҳоди ҷамоҳири шӯравии сосиалистӣ', 'иттиҳоди ҷамоҳири шӯравӣ', 'иттиҳоди ҷумҳуриҳои шуравӣ ва сотсиалистӣ', 'иҷсш', 'ссср'];кишвари коммунистӣ-сотсиалистии Авруосиё, ки дар солҳои 1922-1991 вуҷуд дошт
agentive-physical-object;['инсон', 'homo sapiens', 'одам', 'башар', 'инс', 'кас', 'мард', 'мардум', 'одамизод', 'халқ', 'шахс', 'шахсият'];мавҷуди сухангӯи миранда, чун қисме аз ҷомеа
agentive-physical-object;['қоқу'];Саҳифаи маъноҳои Викимедиа
agentive-physical-object;['ҳинд', 'hind'];Номи шахсии занона
agentive-physical-object;['ammodytidae'];Саҳифаи маъноҳои Викимедиа
amount-of-matter;['гелий', 'ҳелий', 'he'];элементи химиявӣ
biological-object;['сар', 'калла', 'кала'];Қисми бадан
causal-role;['гандзудоӣ', 'дезинфексия'];саҳифаи маъноҳои Викимедиа
cognitive-event;['филия'];исми юнонии дӯстӣ ё мушоракат
functional-matter;['consomme'];саҳифаи маъноҳои Викимедиа
functional-matter;['джем', 'конфитйур'];саҳифаи маъноҳои Викимедиа
geographical-object;['каледонияи нав'];гурӯҳи Викимедиа
information-encoding-system;['трагикомедия', 'трожикомедӣ', 'мазҳакаи фоҷиаомез'];Жанри театр, адабиёт ва синамо
information-object;['когномен', 'лақаб', 'ник', 'никнейм'];Номи дуюми инсон
information-object;['калимаи иқтибосӣ'];калимае, ки аз дигар забон ворид шудааст
information-object;['ҳиссаҳои нутқ', 'хиссаҳои нутқ', 'пораҳои сухан', 'ҳиссаи нутқ'];гурӯҳи грамматикии калима
information-realization;['муфассир'];роёна
information-realization;['rondó'];саҳифаи маъноҳои Викимедиа
information-realization;['ҷилд'];Нусхаи китоб
language;['ибораҳои исмӣ', 'гурӯҳи исмҳо', 'ном', 'номинал'];гурӯҳи ҳиссаҳои нутқ
language;['забони ниё-ҳиндуаврупоӣ'];заабони бозсохташудаи забонҳои қадимаи ҳиндуаврупоӣ
language;['забони инглисӣ', 'англисӣ', 'забони англисӣ', 'инглисӣ', 'англиси', 'забони aнглисӣ'];забоне аз шохаи ғарбии забонҳои олмонӣ оилаи забонҳои ҳиндуаврупоӣ, ки дар Англия пайдо шуда аст
language;['тоҷикӣ', 'забони тоҷикӣ', 'дарӣ', 'забони дарӣ', 'забони порсии тоҷикӣ', 'забони тоҷикон', 'забони форсии тоҷикӣ', 'порсӣ', 'форсии тоҷикӣ', 'форсӣ', 'забони точикй', 'забони точикӣ'];Забони давлатӣ дар Тоҷикистон
language;['забони форсӣ', 'забони порсӣ', 'форсӣ', 'дарӣ', 'забони дарӣ', 'забони порсии дарӣ', 'забони порсии тоҷикӣ', 'забони тоҷикӣ', 'забони форсии тоҷикӣ', 'порсии дарӣ', 'порсии тоҷикӣ', 'порсӣ', 'тоҷикӣ', 'форсии тоҷикӣ', 'форси'];забони ҳиндуаврупоӣ бо гӯяндаҳо дар Тоҷикистон, Эрон, Афғонистон ва Ӯзбакистон
language;['забони чехӣ', 'чехӣ'];забони ғарбславянии зергурӯҳи чехӣ-словакӣ, забони давлатӣ дар Чехия
