abstract-region;['skaler', 'sayısal'];Koordinat sistemlerindeki özelliklerden etkilenmeyen bir niceliktir
activity;['masaüstü yayıncılık', 'desktop publishing', 'masaustu yayincilik', 'dijital tipografi'];Masaüstü yayıncılık
activity;['sirk', 'gezici sirk', 'sirkler'];Akrobatlar, palyaçolar, eğitimli hayvanlar, birtakım sanatçılardan oluşan ve genellikle gezici olan bir eğlence takımı.
activity;['satranç', 'santranç', 'satranc', 'satrancın kökeni', 'satranç hakkında', 'satranç nasıl oynanır', 'satranç oyunu'];Iki oyuncu tarafından oynanan bir zeka oyunu
activity;['go fish'];Daha çok çocuklar tarafından oynanan bir kâğıt oyunu.
activity;['sınav', 'test', 'değerlendirme', 'ölçek', 'ölçüm', 'sınavlar', 'sınavları', 'yetenek testi'];Bir kişi ya da öbeğin bilgi birikimi ve diğer becerilerini ölçmeye yarayan araç
activity;['dilencilik', 'dilenci', 'dilenciler', 'yalvarma'];Geçimini başka insanlardan para, yiyecek vb. isteyerek sağlayan kişi.
activity;['burlesk', 'burlesque'];Parodi ve bazen grotesk abartı içeren mizahi tiyatro türü.
activity;['misilleme', 'intikam', 'i̇ntikam', 'öç'];Kötü davranış veya sözü cezalandırmak için kötülükle karşılık verme isteği ve işi.
activity;['spor', 'atletizm', 'spor akademi', 'spor akademisi', 'spor dalı', 'sporlar', 'sport', 'spor etkinlikleri'];Kurallı beden hareketleri
activity;['alçak basınç', 'alçak basınç alanı', 'alçak basınç sistemi', 'hava sistemi'];Meteorolojide alçak basınç bölgesi
activity;['arya', 'aryaları'];Opera eserinde, solistlerden birinin orkestra eşliğinde söylediği, genellikle kendi içinde bütünlüğü olan şarkı
activity;['çatışma', 'boğuşmak', 'muharebe', 'müsademe', 'kavga', 'silahlı mücadele'];Muharebe veya savaş
activity;['teşhis', 'tanı', 'tıbbi tanı', 'tanı kriterleri', 'tıbbi teşhis'];Tıpta "teşhis", "tanı" anlamına delen İngilizce "diagnosis" sözcüğünün kısaltılmışı. Dx veya D x şeklinde yazılır.
activity;['karşılıklı yardımlaşma'];Birbirleri için yararlı olan ve aralarında yardımlaşma davranışları sergileyen canlıların davranışlarının doğal seçilim tarafından seçilmiş olması durumu
activity;['amatör astronomi', 'amatör uzay bilimi', 'alle', 'amatör astronom', 'amatör gökbilimciler', 'stargazing'];Herkesin yapabileceği gökyüzü gözlemleri araştırmalar bütünü.
activity;['punk rock', 'punk-rock', 'punk müzik', 'ska-punk', 'punk', 'punk canlanma', 'punk grubu', 'punk rock grubu', 'punkrock'];Düzen karşıtı bir rock müzik türü.
activity;['protesto', 'itiraz', 'tepki', 'muhalif', 'protesto grubu', 'protestocu', 'protestolar', 'siyasi protesto'];Yersiz ve gereksiz olduğu düşünülen bir uygulamaya, düşünceye veya davranışa karşı aksi yönde tepki gösterme, karşı çıkma. bu konuda yapılan resmi açıklama
activity;['tiyatro', 'dramaturji', 'dramature', 'oyun yönetmeni', 'oyun yönetmenliği', 'tiyatro eleştirmeni', 'tiyatro eleştirmenliği', 'tiyatro oyun yönetmeni', 'tiyatro oyunu yönetmeni', 'tiyatro oyunu yönetmenliği', 'oyun', 'tiyatro oyunu', 'tiyatro yönetmeni', 'tiyatrocu', 'tiyatrolar', 'canlı tiyatro', 'tiyatro şirketi', 'çocuk tiyatrosu', 'drama', 'dramatik sanat', 'eğlence mekanı', 'tiyatro çalışmaları'];Piyesler, temsiller
activity;['poitiers çarpışması', 'poitiers savaşı', 'poitiers'];Tarihteki en uzun süreli savaş olan Yüz Yıl Savaşı `ndaki büyük çarpışmalardandır.
activity;['turizm', 'gezim', 'i̇ç turizm', 'turist', 'gezi', 'konumlar', 'touristry', 'turistler', 'uluslararası seyahat'];Eğlenmek, görmek ve tanımak gibi amaçlarla yapılan geziler
activity;['muhasebe', 'muhasebe ve finans', 'muhasebecilik'];Hesapta kalan paradır (bakiye).
activity;['devrim', 'ihtilal', 'i̇htilal', 'i̇htilâl', 'protestan reformasyon', 'reformlar', 'devrimler', 'tahttan indirilmesi'];Belli bir alanda ani ve köklü değişiklik. İnkılap. İhtilal. Çevrilme, katlanma, bükülme.
activity;['çay'];Sıcak içilen bitkisel içeceklerin çoğuna genel olarak verilen ad.
