activity;['filimi', 'film'];== Filimi ==
activity;['tamintlangu'];Tamintlangu ti hlanganisa minxaka hikwayo ya mintlangu ya ku phikizana ka vanhu laha, hi kutirhisa kululamisa, kutirhisa, na ku lota vuswikoti bya miri naswona va tsakisa vahlaleri.
activity;['vuqambhi'];Vuqambhi i mpaluxo wa vuswikoti kumbe nyiko ya miehleketo yo tumbuluxa vu xongi.
activity;['maxelo', 'maxele'];Maxelo i matshamele ya tilo/xibhakabhaka, kuhlamusela leswaku ra hisa. ka titimeta. ku omile kumbe kuna mpfula. ripfurile kumbe kuna mapapa.
activity;['swikwembu'];Kuphahla Swikwembu (Kumbe kuphahla Vafi), swi tshegiwe eka rirhandzu na ku xixima vafi.
agentive-figure;['tiko'];Hikuya hi nhlamuselo ya politiki, Tiko i ntlawa wa va aka tiko lowu hanyaka ehansi ka xiyimiso xa hulumendhe wun'we.
agentive-figure;['nhlangono wa matiko ya yuropa', '🇪🇺'];Ntwanono wa Yuropa i ntwanano lowu ngana swirho swa matiko ya 28 lama kumekaka e tikweni-nkulu ra Yuropa, lama tirhisanaka eka swa tipolitiki na ikhonomi.
agentive-figure;['matiko la ma hlanganeke'];Matiko la ma hlanganeke i nhlangano ya tihulumendhe ta misava leti byarhisiweke pfumba ro kondletela ntwanano naswona tithlela ti kodletela nawu na vululami.
agentive-figure;['vukhongeri'];Vukhongeri i nxaxamela wa mindzhavuko ya matikhomele, swi endlo, mavonele, matsalwa yo kwetsima, tindzhawu to kwetsima na mafambisele ya vutomi ya vanhu.
agentive-figure;['vusocha'];Vusocha, i ntlawa wa tinyimpi wa tiko ro karhi, naswona wu thlela wu rina mpfumelelo wo tirhisa matimba yo dlaya na mathlarhi ya nyimpi ku seketela swilaveko swa hulumendhe ya tiko ro karhi na va akatiko va rona.
agentive-physical-object;['khompuyuta'];Khompuyuta i muchini lowu leteriwaka to endla tinhlayo na swileriso hixinkarhana.
agentive-physical-object;['vanhu', 'homo sapiens'];Vanhu vamanguva lawa (Homo sapiens) hikuya hi Sayensi imuxaka wa rhavi ra swiharhi ra Hominina (Vanhu), leri riyelanaka na ntlawa wa timfenhe.
agentive-physical-object;['pfilu'];Pfillu (Vangueria infausta Kumbe Africanmedlar), i muhlovo wa nsinya lowu tswalaka muhandzu wo fana na mu-Apula, naswona wu kumeka e Dzongeni wa tiko-nkulu ra Afrika.
cognitive-event;['norho'];Norho i nxaxamelo wa swifaniso, makungu na minthlaveko leswi ti endlekelaka e mi'hleketweni exikarhi ka swiphemu swokarhi swa vurhongo.
cognitive-event;['mi anakanyo'];Mi'hleketo yi angarha "nkhuluko wa makungu lama nga na xikongomelo xo karhi, la ma voyamelaka eka swiboho swa xiviri".
geographical-object;['lwandle'];Lwandle i mati ya munyu lawa ma hlanganisaka xiyenge lexi kulu xa pulaneti ya misava.
