agentive-figure;['te ekalesia a iesu mesia i te feia mo‘a i te hau mahana hopea nei'];Te Ekalesia a Iesu Mesia i te Feia Mo‘a i te hau Mahana Hopea nei
agentive-physical-object;['te meià'];E māa hotu te meià, te hotu no te tumu meià ò ia.
agentive-physical-object;['painapo'];E rā’au te painapo, nō te fēti’i o te Bromeliaceae.
agentive-physical-object;['’ōpuhi ’ute’ute', '’ōpuhi'];E rā’au te ’ōpuhi ’ute’ute, nō te fēti’i o te Zingiberaceae.
agentive-physical-object;['māniota', 'manihot esculenta'];E rā’au te māniota, nō te fēti’i o te Euphorbiaceae.
agentive-physical-object;['’aute'];E rā’au te ’aute, nō te fēti’i o te Malvaceae.
agentive-physical-object;['pītate'];E rā’au te pītate, nō te fēti’i o te Oleaceae.
agentive-physical-object;['tamanu', 'tāmanu', 'calophyllum inophyllum', "'ati"];E rā’au te tāmanu ’e te ’ati, nō te fēti’i o te Calophyllaceae.
agentive-physical-object;['motoì', 'moto’ī'];E rā’au te moto’ī, nō te fēti’i o te Annonaceae.
agentive-physical-object;['taina'];E rā’au te taina, nō te fēti’i o te Rubiaceae.
agentive-physical-object;['ufi', 'dioscorea alata'];E rā’au te ufi, nō te fēti’i o te Dioscoreaceae.
agentive-physical-object;['taro'];E rā’au te taro, nō te fēti’i o te Araceae.
agentive-physical-object;['tiairi', 'ti’a’iri'];E rā’au te ti’a’iri, nō te fēti’i o te Euphorbiaceae.
agentive-physical-object;['meià hamoa', 'mei’a hamoa'];E rā’au te mei’a hāmoa, nō te fēti’i o te Musaceae.
agentive-physical-object;['raitihi taratara'];E rā’au te raitihi taratara, nō te fēti’i o te Sapindaceae.
agentive-physical-object;['’uru', 'ùru'];E rā’au te ’uru, nō te fēti’i o te Moraceae.
agentive-physical-object;['pakai', 'inga edulis'];E rā’au te pa’ai, nō te fēti’i o te Fabaceae.
agentive-physical-object;['miro', 'thespesia populnea'];E rā’au te miro, nō te fēti’i o te Malvaceae.
agentive-physical-object;['rea tinito', 're’a tinitō', 'zingiber officinale'];E rā’au te re’a tinitō, nō te fēti’i o te Zingiberaceae.
agentive-physical-object;['’ōporo'];E rā’au te ’ōporo, nō te fēti’i o te Solanaceae.
agentive-physical-object;['rēmuna'];E rā’au te rēmuna, nō te fēti’i o te Lythraceae.
agentive-physical-object;['àutī', '’autī', 'cordyline fruticosa'];E rāau te àutī, no te fētii o te Agavaceae.
agentive-physical-object;['àutī', '’autī', 'cordyline fruticosa'];E rā’au te ’autī, nō te fēti’i o te Asparagaceae.
agentive-physical-object;['’atae'];E rā’au te ’atae, nō te fēti’i o te Fabaceae.
agentive-physical-object;['tapotapo hutu pua’atoro'];E rā’au te tapotapo hutu pua’atoro, nō te fēti’i o te Annonaceae.
agentive-physical-object;['tuava tinitō'];E rā’au te rēmuna, nō te fēti’i o te Myrtaceae.
agentive-physical-object;['tō popa’ā', 'zea mays'];E rā’au te tō popa’ā, nō te fēti’i o te Poaceae.
agentive-physical-object;['tō'];E rā’au te tō, nō te fēti’i o te Poaceae.
agentive-physical-object;['’uriri'];E manu te ’uriri.
