abstract-quality;['особистість', 'особистості'];Відображення соціальної природи людини
abstract-region;["ряд фур'є", 'ряд фур’є', "ряди фур'є", "тригонометричний ряд фур'є", "коефіцієнт фур'є", "коефіцієнти фур'є", "коефіцієнтів фур'є", "розкладанні фур'є"];безмежний функціональний ряд, який представляє собою розкладання на гармоніки
activity;['мікробіологічна культура', ',бактеріологічний посів', 'бактеріологічна культура', 'чиста культура', 'чисті культури', 'бактеріологічний посів', 'мікробіологічні культури', 'чистій культурі'];Метод розмноження клітин, організмів, тканин та органів в оптимальних умовах
activity;['виготовлення', 'виробництво', 'виробництва'];Процес створення товарів і послуг
activity;['троянська війна'];Міфологічна війна
activity;['битва під саратогою', 'битва під саратоґою', 'битва saratoga'];Епізод Американської революції,
activity;['битва на річці бойн', 'boyne', 'битві бойне'];Найбільша битва в історії Ірландії, вирішальний бій у ході Славної революції
activity;['короткометражний фільм', 'короткометражне кіно', 'короткометражний', 'короткий метр', 'кіно короткометражне', 'фільм короткометражний', 'короткометражка', 'короткометражні фільми', 'короткометражних мультфільмів'];Розділ кіномистецтва і формат фільмів довжиною від 10-20 до 40-50 хвилин
activity;['екарте', 'écarte', 'екарт'];картярська гра
activity;['франсіско лопес альфаро', 'francisco lopez alfaro', "франсіско хав'єр лопес"];Іспанський футболіст
activity;['поцілунок', 'лoцілунок', 'поцілу́нок', 'кіссінг', 'цілувати'];Дотик людських губ до будь-чого для вираження своїх емоцій, переважно позитивних
activity;['шашки', 'ша́шки', 'checkers', 'шашкіст'];Гра для двох гравців на багатоклітковій дошці
activity;['бенефіс', 'благодійний концерт'];Театральна вистава або концерт, влаштований в честь одного з акторів, що виступає
activity;['мамографія', 'маммографія', 'мамографію', 'мамографії'];рентгенівська діагностика молочної залози
activity;['конфлікт', 'ди́спут', 'поле́міка', 'спір', 'супере́ка', 'конфлікти', 'сварка', 'розбіжність у думках'];Найгостріший спосіб усунення протиріч
activity;['голодування', 'голодо́вка', 'голоді́вка', 'голодовка'];Метод ненасильницького опору або тиску
activity;['документальний фільм', 'докудрама', 'документа́льний фільм', 'документальна драма', 'документальна стрічка', 'документальне кіно', 'документаліст', 'документальний', 'документальний серіал', 'документальні фільми', 'кінодокументаліст', 'кінодокументалістика', 'неігрове кіно', 'документальних фільмів', 'доку-драмі', 'драма документальний фільм', 'розважальна'];Зйомки реальних подій та осіб
activity;['футбол', "копаний м'яч", 'сокер', 'футбол асоціації', 'доданий час', 'після додаткового часу', 'футболу', 'футбольної команди'];Командний вид спорту
activity;['мош', 'слем', 'moshing', 'moshpit', 'мош яму', 'танці шолома', 'шолома танцю', 'шолома танці'];танець
activity;['фільм', 'кінофільм', 'кіно', 'кінострічка', 'кінокартина', 'кінофільми', 'рухомого зображення', 'головний кінофільм', 'кінематографічний', 'кінематографічний шоу', 'кіносеанс', 'рухомі зображення'];Термін, що охоплює окремі проєкти у області кінематографії
activity;['хіп-хоп', 'хіп хоп', 'реп-музики', 'хіп-хоп музики', 'хіп-хоп групи'];Музичний жанр
activity;['софтбол', 'softball', 'софтбол гри'];вид спорту
activity;['шахи', 'ша́хи', 'шахіст', 'шахісти', 'шахістка', 'шахова гра'];Настільна гра на спеціальній дошці, що має назву шахівниця й поділена на 64 світлі і темні клітини (поля)
activity;['лакрос', 'лакро́сс', 'lacrosse', 'лакросс'];Командний вид спорту
activity;['водне поло', 'ватерполо', 'ватерполіст'];командна спортивна гра у воді
activity;['бадмінтон', 'bádminton', 'бадмінтоніст'];вид спорту з ракетками
activity;['гольф', 'ґольф', 'гри в гольф', 'турнір з гольфу'];Спортивна гра, в якій окремі учасники або команди змагаються, заганяючи маленький м'яч для гольфа в спеціальні лунки ударами ключок, намагаючись пройти відведену дистанцію за мінімальне число ударів
activity;['пінбол', 'пінбол гри', 'ігрові автомати'];розважальна гра
activity;['ігри на спеціальній дошці', 'гра на спеціальній дошці', 'настільна гра', 'настільних ігор', 'настільні ігри'];Настільна гра з ігровою дошкою
activity;['крикет', 'кри́кет', 'крікет', 'гравців у крикет', 'крикет гравця'];командний спорт з битами та м'ячами
activity;['теніс', 'великий теніс', 'ситківка', 'тенісист', 'тенісистка'];Вид спорту
activity;['стрибки у воду'];Один з водних видів спорту, на змаганнях виконуються стрибки з трампліну (1 і 3 м) і вежі (5, 7,5 і 10 м)
activity;['автоматизація', 'механізація', 'автоматиза́ція', 'моторизація', 'механізації', 'автоматизації', 'механізованої', 'промислової автоматизації'];Науково-технічний прогрес
activity;['айкідо', 'aikidó'];Японське бойове мистецтво, створене Уешіба Моріхеєм
activity;['концерт', 'концертний тур', 'турне'];Прилюдне виконання музичних творів, балетних, естрадних і т. ін. номерів за певною програмою
activity;['пантоміма', 'пантоміми', 'німа сцена'];Вид, форма сценічного мистецтва
activity;['мазурка'];Польський народний танець
activity;['панацея', 'панаце́я', 'catholicon', 'ліки від усіх хвороб'];Міфологічний універсальний засіб від усіх хвороб
activity;['пряма мова', 'пряме котирування'];Передача висловлювання в оригінальній формі
activity;['глибинна психологія', 'психоаналіз', 'фрейдизм', 'психоаналітик', 'аналізованого', 'глибинної психології', 'психоаналізу', 'психоаналітиків', 'психоаналітичної школи'];психологічна теорія та метод психотерапії, пояснення несвідомих зв'язків та процесів
activity;['варгейм', 'wargame', 'військова гра', 'wargaming'];Стратегічна гра про воєнні події
activity;['підтримка'];Процедура, яка передує винесенню пропозиції на голосування в громадських і законодавчих зборах
activity;['дзюдо', 'дзюдоїст', 'дзюдоїстка', 'юко'];Японське бойове мистецтво
activity;['танець модерн', 'сучасні танці', 'сучасного танцю', 'сучасні танцюрист'];Напрям розвитку хореографії, який зародився в кінці XIX на поч. XX століття
activity;['магнітна буря', 'геомагнітні бурі', 'геомагнітна буря', 'магнітні бурі'];Бурі магнітні
activity;['індексація', 'індексації'];Економічний термін
activity;['нетбол'];Гра з м'ячем
activity;['балет', 'балерина', 'балетів', 'класичного танцю', 'концерт танцю', 'секвею', 'театр танцю'];тип танцю. жанр виконавського мистецтва
activity;['обійми', 'обіймання', 'обіймати'];Спосіб вираження почуттів
activity;['друга світова війна', 'дру́га світова́ війна́', '2 світова війна', 'ii світова війна', 'іі світова війна', '2-га світова', '2-га світова війна', '2 світова', 'друга світова', 'друга світова війна 1939-1945', 'друга світова війна 1939-45', 'друга світова війна 1939—45', 'дсв', '2 світової війни', 'нацистської окупації'];Світова війна 1939-1945, наймасштабніший військовий конфлікт в історії людства
activity;['піст', 'голодува́ння', 'пост', 'пости', 'божка', 'швидко'];Дотримання певних обмежень щодо їжі протягом певного періоду часу, форма аскези або добровільне самообмеження людини від того, що забирає найбільше її уваги, думок
