activity;['festival', 'bayram'];qator tadbirlar va spektakllar uyushtiriladigan bayram
activity;['karantin', 'karantinlash'];Karina viris
activity;['teatr', 'dramaturgiya', '"teatr"'];Drama echki qo'shig'i
activity;['ob-havo', 'havo', 'ob havo'];Shahrisabz
agentive-figure;['davlat', 'suveren davlat', 'millat', 'ulus', 'estat', 'negara', 'state', '國', 'civitas', 'devlet', 'dowlad', 'država', 'dövlət', 'estado', 'estato', 'estatu', 'firenena', 'gwladwriaeth', 'kaontri', 'kintra', 'kok-ka', 'land', 'letá', 'leydi', 'mama llaqta', 'moku‘āina', 'nagara', 'nhà nước', 'país', 'państwo', 'państwò', 'riik', 'réew', 'ríki', 'rārangi whenua', 'schdaad', 'shteti', 'staat', 'stad', 'stado', 'staot', 'stat', 'stato', 'statu', 'steat', 'stát', 'stât', 'stååd', 'tetã', 'tír', 'valsts', 'valstybė', 'valstībė', 'valtio', 'állam', 'état', 'ŝtato', 'štát', 'κράτος', 'государство', 'держава', 'дзяржава', 'држава', 'държава', 'дәүләт', 'ил', 'канму', 'кишвар', 'кугыжаныш', 'кърал', 'мамлекет', 'мемлекет', 'патшалăх', 'улс', 'штат', 'պետություն', 'מדינה', 'ازاد دیس', 'دولة', 'دولت', 'دوله', 'دەوڵەت', 'ملک', 'ܐܬܪܐ', 'सार्वभौमिक राष्ट्र', 'রাষ্ট্র', 'அரசு', 'ದೇಶ', 'രാഷ്ട്രം', 'ස්වෛරීය රාජ්\u200dයය', 'รัฐ', 'სახელმწიფო', 'სახენწჷფო', 'ប្រទេស', '国家', '국가'];Markaziy hokimiyatga ega siyosiy tashkilot
agentive-figure;['don quixote sarguzashtlari', 'don quixote, don kixot', 'don kixot', 'don kixot sarguzashtlari'];Ispan yozuvchisi Miguel de Cervantes Saavedra qalamiga mansub roman
agentive-physical-object;['tuya'];Bu oʻsimlik hozirda landshaft dizayn sifatida qoʻllaniladi
agentive-physical-object;['kashalot', 'physeter macrocephalus', 'physeter catodon'];Kitlar turi
agentive-physical-object;['koʻk kit', 'balaenoptera musculus', "ko'k kit", 'ko`k kit', 'ko‘k kit'];Yoʻl-yoʻl kitlar oilasiga mansub sut emizuvchi hayvon
agentive-physical-object;['yelka oyoqlilar'];Umurtqasiz hayvonlar tipi
agentive-physical-object;['kosatka'];Tishli kit
agentive-physical-object;['kaltakesaklar', 'kaltakesak'];Sudralib yuruvchilar sinfining kenja turkumi
amount-of-matter;['talliy', 'таллий', 'tl'];Kimyoviy unsur
amount-of-matter;['geliy', 'he'];lanardo davinchi
amount-of-matter;['buten', 'butenlar', 'butilen', 'butilenlar'];Organik birikma
