abstract-region;['bội số', 'bội', 'nhiều'];Tích của một số bất kì với một số nguyên
activity;['thư điện tử', 'điện thư', 'thơ điện tử', 'e-mail', 'email', 'lịch sử thư điện tử', 'mail internet'];Email
activity;['tiền tố si', 'các tiền tố của si', 'tiền tố tiêu chuẩn quốc tế', 'độ lớn trong si'];Tiền tố đơn vị đứng trước một đơn vị đo lường cơ bản để biểu thị bội số của đơn vị
activity;['trốn tìm', 'năm mười', 'ẩn và tìm', 'ẩn và đi tìm kiếm'];Trò chơi dân gian
activity;['xiếc', 'gánh xiếc', 'nghệ sĩ xiếc', 'tạp kỹ', 'xiệc', 'đoàn xiếc', 'tạp kĩ', 'nhóm xiếc', 'đội xiếc', 'xiếc đi du lịch', 'rạp xiếc', 'rạp xiếc đi du lịch'];Thường là một đoàn nghệ sĩ lưu động
activity;['trận austerlitz', 'trận chiến của ba hoàng đế', 'trận ba hoàng đế', 'trận của ba hoàng đế', 'trận tam vương', 'trận đánh austerlitz', 'trận chiến của austerlitz'];Một trong những trận đánh quan trọng và có tính chất quyết định trong chiến tranh Napoléon
activity;['trình diễn', 'biểu diễn', 'buổi biểu diễn', 'buổi trình diễn', 'màn biểu diễn', 'màn trình diễn', 'perf', 'performance', 'performing', 'thực hiện', 'hiệu suất', 'công trình bày'];Sự kiện biểu diễn nghệ thuật hay màn trình bày đơn lẻ một tiết mục biểu diễn nghệ thuật
activity;['phim tài liệu', 'kịch sự kiện', 'phim sự kiện', 'bộ phim tài liệu', 'docudrama', 'loạt phim tài liệu', 'thông tin giải trí', 'tài liệu'];Phim phi hư cấu
activity;['bóng đá', 'đá banh', 'bóng tròn', 'fairplay', 'khung thành', 'lỗi', 'phút-bôn', 'phụt-bôn', 'phụt bôn', 'thả bóng', 'thời gian bù giờ', 'túc cầu', 'túc cầu giáo', 'đá bóng', 'hiệp hội bóng đá', 'hiệp hội cầu thủ bóng đá', 'sau khi thêm thời gian', 'thời gian chấn thương'];môn thể thao đồng đội được chơi giữa hai đội với nhau, mỗi đội có 11 cầu thủ thi đấu với nhau bằng một quả bóng
activity;['phim', 'điện ảnh', 'phim ảnh', 'chiếu bóng', 'nghệ thuật thứ bảy', 'nghệ thuật thứ bẩy', 'xi-nê', 'xi-nê-ma', 'xi nê', 'xi nê ma', 'xinê', 'xinêma', 'ánh họa', 'hình ảnh chuyển động', 'di chuyển hình ảnh', 'buổi trình diển tranh ảnh', 'bộ phim sân khấu', 'chuyển động hình ảnh hiển thị', 'di chuyển, hình ảnh hiển thị', 'dời tấm hình đi chổ khác', 'hình ảnh chuyển động lớn', 'màn hình lớn'];chuỗi hình ảnh tạo ấn tượng về chuyển động được lưu trữ trên kho phim
activity;['trò chơi máy tính', 'trò chơi video', 'video game', 'pc game', 'trò chơi điện tử', 'trò chơi máy tính cá nhân', 'game máy tính', 'pc trò chơi', 'trò chơi máy vi tính', 'trò chơi pc', 'trò chơi trên máy tính cá nhân', 'trò chơi điện tử trên máy tính', 'video games', 'chơi game máy tính', 'chơi game video', 'giải trí điện tử', 'trò chơi tương tác'];Liên quân Mobi
activity;['bóng rổ', 'lên rổ', 'basketballer', 'bóng rổ nam giới', 'bóng rổ trường trung học', 'câu lạc bộ bóng rổ', 'hoops', 'trò chơi bóng rổ'];Môn thể thao thi đấu đối kháng trực tiếp giữa 2 đội, mỗi đội có năm người trên sân
activity;['nhảy cầu', 'nhảy xuống nước', 'lặn', 'đồng bộ lặn'];môn thể thao
activity;['trận chiến biển san hô', 'trận biển coral', 'hải chiến biển coral', 'trận đánh biển san hô', 'trận chiến biển coral'];Hải chiến trong Chiến tranh thế giới thứ hai
activity;['aikido', 'aikidō', 'hiệp khí đạo'];Môn võ thuật Nhật Bản được phát triển bởi Ueshiba Morihei
activity;['quan hệ tình dục', 'giao hợp', 'giao cấu', 'giao phối', 'sự giao cấu', 'giao hoan', 'làm tình', 'sinh hoạt tình dục', 'tình dục qua đường âm đạo', 'ái ân', 'ân ái', 'đụ', 'hành vi tình dục', 'hành vi tình dục của con người', 'giao hợp âm đạo', 'gặp gỡ tình dục', 'hoạt động tình dục', 'hoạt động tình dục của con người', 'hành động quan hệ tình dục', 'kiến thức xác thịt', 'quan hệ tình dục hành động', 'sự giao cấu', 'sự giao hợp', 'tình dục liên quan', 'tình dục đáng tiếc', 'tình dục đại hội', 'xác thịt kiến thức'];Hành vi đưa bộ phận sinh dục nam/đực vào bên trong bộ phận sinh dục nữ/cái để tạo khoái cảm tình dục, hoặc với mục đích sinh sản
