agentive-physical-object;['djin', 'homo sapiens sapiens', 'ome', 'homo sapiens', 'djins'];Mimbe del nindje uminne
geographical-object;['mouze'];ene mwaisse aiwe d' Urope, avou s' sourd el France, ki raiwe li Walonreye et les Bas-Payis po-z egoliner al Mer do Nôr. Avou ene longueur totåle di 925km.
language;['årmenyin'];lingaedje indo-uropeyin do Côcaze, djåzé på peupe årmenyin.
physical-object;['clå', 'clå 1'];pitit stocaesse droet boket d' fier, avou ene tiesse et ene ponte, k' on cougne dins l' bwès po fé tni eshonne deus sacwès.
socially-constructed-person;['feye', 'pitite', 'båshele'];Efant frumele d' ene biesse (eto d' ene djin).
socially-constructed-person;['djin', 'sakî'];ene djin.
socially-constructed-person;['påpåd'];efant nén co spani.
socially-constructed-person;['mame', 'mere'];Ene feme ki a-st avou pol moens èn efant.
socially-constructed-person;['båshele', 'crapåde'];Ene djin djonne et d' seke femrin, å pus sovint ene bashele ou ene djonne feye.
socially-constructed-person;['ome'];djin do seke måye. k' est ddja crexhou et ki pout fertilijhî ene feme po-z aveur des efants.
socially-constructed-person;['bikebok'];Djin avou des caracteristikes secsuweles ki n' sont nén clairmint ni omrin ni femrin.
socially-constructed-person;['fi'];Efant omrin da ene sakî.
temporal-region;['djanvî', "moes d' djanvî"];Li prumî moes do calindrî grigoryin, 31 djoûs long.
temporal-region;['djanvî', "moes d' djanvî"];Li prumî moes do calindrî grigoryin, 31 djoûs long.
temporal-region;['djanvî', "moes d' djanvî"];Li prumî moes do calindrî grigoryin, 31 djoûs long.
temporal-region;['awousse', "moes d' awousse"];Li ûtinme moes do calindrî grigoryin, avou 31 djoûs.
