agentive-physical-object;["tcherdon d' ôr d' espagne", 'scolymus hispanicus'];Scolymus hispanicus
agentive-physical-object;['fleur'];Pårteye del plante ki va dner les sminces
agentive-physical-object;['råskignoûs', 'muscicapidae'];Muscicapidae
agentive-physical-object;['dåfén ordinaire'];el pus corant des dåféns
agentive-physical-object;['vegne', 'vitis vinifera', 'roejhén', 'reujhin', 'vignrons'];bouxhon ki dene les roejhéns
agentive-physical-object;['houpêye flaminete', 'regulus cristatus', 'regulus regulus', 'roytea houplé', 'roytea ordinaire'];Roytea ordinaire ''''Regulus regulus"
agentive-physical-object;['åberdjene', 'belindjele', 'solanum melongena'];Verdeure avou des måves rilujhants fruts
agentive-physical-object;['tiyoû ås ptitès foyes', 'tilia cordata'];tiyoû k' a des ptitès foyes
agentive-physical-object;['yebe sint-cwelin', 'ajuga reptens', 'ajuga reptans'];fleur des tchamps ki vént come ene rampe
agentive-physical-object;['tchawe-sori', 'chiroptera', 'kiroptere', 'tchawes-soris'];Biesse ås tetes ki vole
agentive-physical-object;['cwarpece', 'cwate-peces'];Cropante biesse ås cwate pates
agentive-physical-object;['roytea', 'regulus', 'flaminete', 'regulidae', 'roytidîs'];Famile di ptits moxhons (roytidîs)
agentive-physical-object;['canård', 'cane'];åwidî avou on lådje betch
agentive-physical-object;["dinrêye d' awousse", "poes d' trouk", 'mayisse', 'zea mays', 'dinrêye', 'dinrêyes', "dinrêyes d' awousse", 'dvere'];Sôre di plante
agentive-physical-object;['tcherdon notru-dame', 'cardinus marianus', 'silybum marianum'];Silybum marianum
agentive-physical-object;['flaminouche', 'calendula officinalis', 'orandje flaminete', 'pitit solea', 'pitit solo'];orandjêye fleur des cortis
amount-of-matter;['sé'];Prodût tchimike ki s'' fwait cwand on seur si maxhe a ene båze
amount-of-matter;['mierkeure'];Pezant metå, eployî dins les vîs termometes
amount-of-matter;['ôle'];Crås likide ki n'' si maxhe nén a l'' aiwe
amount-of-matter;['plonk', 'pb'];Noer pezant metå
amount-of-matter;['ôle po magnî', 'ôle', 'ôles po magnî'];Ôle ki sieve dins l'' amagnî
amount-of-matter;['båze'];Coir tchimike ki låtche des iyons OH-
biological-object;['linwe'];Musse sins oxhea ki rimplit l'' boke
biological-object;['peme', 'pemî', 'peume', 'pome', 'poume', 'pème', 'malus pumila', 'melêye'];frut do pemî
biological-object;['fleur'];Pårteye del plante ki va dner les sminces
biological-object;['mwin'];Dibout do bresse d'' ene djin, houte do pougnet, avou les 5 doets
biological-object;['panse'];Pus grande des potches do stoumak des roemiants
biological-object;['molete', 'moulete'];Cwatrinme potche del pansreye
biological-object;['warot', 'waerot'];Boket do coir des tchvås et bovrins metou ådzeu des spales, sol schene do dos
biological-object;['bodje', 'buk', 'beur', 'tronce'];Li coir di l'' åbe, del pate åzès coxhes
biological-object;['divant-bresse', 'bresse do dzo', 'dvant-bresse'];Pårteye do bresse inte li pougnet et l'' keusse
biological-object;['cawe'];Dibout del schene des biesses
biological-object;['oraye'];Organe po-z etinde
biological-object;['tinroxh', 'gruziant', 'gruzion', 'tinroxhea'];Texhou come di l'' oxh, mins pus tinre
chemical-object;['molecure'];Ashonna di deus ou sacwants atomes
