language;['დანიური ნინა', 'დანიურ', 'da', 'dan'];ჩრდილოეთ გერმანულ ნინა, ნამდგას უმეტესო დანიელეფ იჩიებნა.
language;['თურქული ნინა', 'თურქულ'];თურქულ ნინა, ნამდგას უმეტეცო თურქეთის, კვიპაროცის და ყოფილ ოსმალეთიში იმპერიაშ ხალხ იჩიებ.
language;['ჩინური ნინა', 'ჩინურ'];ჩინეთ-ტიბეტურ ნინა, ნამდგას უმეტეცო ჩინეთის დო მეძობელ რაიონემც იჩიებნა.
language;['ურიული ნინა', 'ურიაშ', 'ებრაული ნინა', 'ივრითი'];ურიეფიშ ნინა იზრაელც დო შხვა ქიანემც.
language;['ირლანდიური ნინა', 'ირლანდიურ'];კელტურ ნინა, ნამდგას უმეტეცო ირლანდიას იჩიებნა.
language;['ინგლისურ'];დასავლეთ გერმანულ ნინა, ნამდგას ბრიტანეთის იჩიებნა.
language;['ბერძენული ნინა', 'ბერძენულ', 'ბერძნული ნინა'];ინდოევროპულ ნინა, ნამდგას იჩიებნა უმეტესო საბერძენეთის და კვიპაროცის.
language;['სომეხური ნინა', 'სომხურ', 'სომხური ნინა'];ინდოევროპულ ნინა, ნამდგას სომეხეფ იჩიებნა.
language;['ფინური ნინა', 'ფინურ'];ფინო-უნგრულ ნინა, ნამდგას უმეტესო ფინეთის იჩიებნა.
language;['არაბული ნინა', 'არაბულ'];სემიტურ ნინა, ნამდგას არაბულ ქიანემც და ჩრდილოეთ აფრიკას იჩიებნა.
language;['ბელარუსული ნინა', 'ბელორუსულ'];აღმოსავლეთ სლავურ ნინა, ნამდგას უმეტესო ბელორუსის იჩიებნა.
language;['უკრაინული ნინა', 'უკრაინულ'];აღმოსავლეთ სლავურ ნინა, ნამდგას უმეტეცო უკრაინას იჩიებნა.
language;['რუსული ნინა', 'რუსულ'];აღმოსავლეთ სლავურ ნინა, ნამდგას უმეტეცო რუსეთის დო ყოფილ საბჭოთა კავშირიშ რესპუბლიკემც იჩიებნა.
language;['გერმანული ნინა', 'გერმანულ', 'გერმანულ ნინა'];ინდოევროპულ ნინა, ნამგას რაგადანა გერმანიას, ავსტრიას, ლიხტენშტეინც, შვეიცარიას, სამხრეთ ტიროლც დო ბელგიაშ ნაწილც.
socially-constructed-person;['ბასკურ'];ნინა, ნამდგას უმეტესო ბასკეთის იჩიებნა.
socially-constructed-person;['აზერბაიჯანულ'];თურქულ ნინა, ნამდგას უმეტესო აზერბაიჯანელეფ იჩიებნა.
socially-constructed-person;['ბულგარულ'];სამხრეთ სლავურ ნინა, ნამდგას უმეტესო ბულგარელეფ იჩიებნა.
socially-constructed-person;['იაპონურ'];ნინა, ნამდგას უმეტეცო იაპონიას რაგადანა.
socially-constructed-person;['ქორთული'];სამხრეთ კავკაციაშ ნინა, ნამდგას ქორთუეფ იჩიებნა
