functional-matter;['დენდრიტი'];ნეირონიშ ნორთი
geographical-object;['ნილოსი'];აფრიკაშ დო მოსოფელიშ უგჷრძაში წყარმალუ
language;['მალაიალამური ნინა', 'მალაიალამი'];ორაგადე ნინა ინდოეთის
political-geographic-object;['იაპონია'];სტატია ქიანაშ გეშა
political-geographic-object;['შვეიცარია', 'ch'];სტატია ქიანაშ გეშა
political-geographic-object;['აბუჯა', 'abuja'];ნიგერიაშ ნანანოღა
political-geographic-object;['რომი'];იტალიაშ ნანანოღა
political-geographic-object;['ბრიუსელი'];ბელგიაშ ნანანოღა
political-geographic-object;['პარიზი'];საფრანგეთიშ ნანანოღა
political-geographic-object;['ქართი', 'ქართ', 'ტფილისი'];საქორთუოშ ნანანოღა დო სიდიდათ მაართა ნოღა
political-geographic-object;['დაკარი', 'dakar'];სენეგალიშ ნანანოღა
political-geographic-object;['სტოკჰოლმი'];შვედეთიშ ნანანოღა
political-geographic-object;['მასერუ', 'maseru'];ლესოთოშ ნანანოღა
subject;['ტექტონიკა'];გეოლოგიაშ დარგი
