abstract-quality;['personhood'];A majority of the present world's peoples delay the conferral of personhood (to children).
abstract-quality;['personality', "children's personality", 'human personality', 'personailty'];The president has a unique personality.
abstract-region;['limit', 'limit point', 'point of accumulation', 'convergence', 'mathematical limit', 'converge', 'infinite limit', 'limit function', 'limit operator', 'limit process', 'math limit', 'mathematical convergence'];The sequence of reciprocals has zero as its limit.
abstract-region;['value'];The Shakespearean Shylock is of dubious value in the modern world.
abstract-region;['sum', 'amount', 'total'];The sum of 3 and 4 is 7.
abstract-region;['sum', 'amount', 'total'];A total of £145 was raised by the bring-and-buy stall.
abstract-region;['product', 'mathematical product', 'products in linear algebra'];The product of 2 and 3 is 6. The product of 2, 3, and 4 is 24.
abstract-region;['dependent variable'];In the equation z = x2 + y, z is the dependent variable.
abstract-region;['independent variable', 'experimental variable'];In the equation z = x2 + y, x and y are the independent variables.
abstract-region;['vector product', 'cross product', 'ccw test', 'cross-product', 'cross product matrix', 'cross products', 'crossproduct', 'evaluating cross-products', 'evaluating cross products', "sarrus's scheme", 'three-dimensional cross product', 'vector cross product', 'vectorial product', 'xyzzy', '⨯'];The cross product can be derived like so: given a pair of vectors ξ and η , solve for a vector ζ which is perpendicular to both ξ and η , i.e., whose dot product with both ξ and η is zero.
abstract-region;['least common multiple', 'lowest common multiple', 'lcm', 'smallest common multiple', 'l.c.m', 'common multiples', 'lowest common multiplier', 'minimal common multiple', 'nww'];120 is the least common multiple of 60, 8 and 15.
abstract-region;['sequence', 'episode', 'series'];It was a most embarrassing episode in my life.
activity;['shoestring catch'];Jones races in... and makes a fine shoestring catch in shallow center.
activity;['base on balls', 'walk', 'pass', 'bb', 'base on ball', 'baseball statistics/bb', 'bases on balls'];Smith was given a pass after Jones' double.
activity;['base on balls', 'walk', 'pass', 'bb', 'base on ball', 'baseball statistics/bb', 'bases on balls'];The pitcher now has two walks in this inning alone.
activity;['minister'];He was newly appointed to be Minister of the Interior.
activity;['prompt', 'command prompt', 'command line interface', 'console'];I filled in my name where the prompt appeared on the computer screen but my account wasn't recognized.
activity;['email', 'electronic mail', 'e-mail', '📧', 'e mail', 'internet mail', 'message handling service', '.eml', 'anonymous mailer', 'benefits of e-mail', 'corporate email', 'courriel', 'e-address', 'e-mail account', 'e-mail header', 'e-mail headers', 'e-mail message', 'e-mailed', 'e-mails', 'e mails', 'electron mail', 'electronic mail box', 'electronic mails', 'electropost', 'email account', 'email accounts', 'email etiquettes', 'email header fields', 'email headers', 'email message', 'email security', 'email stationery', 'email system', 'email types', 'emailed', 'emails', 'how email works', 'inbox', 'internet message format', 'mail headers', 'mass email', 'outbox', 'paid email', 'premium e-mail', 'premium email', 'premiumemail', 'protected email', 'public email address', 'reply-to', 'reply all', 'rfc822', 'rfc 2822', 'rfc 5322', 'rfc 822', '📤', '📥', '📨', '📩', '🖄'];He sent me his details via email.
activity;['email', 'electronic mail', 'e-mail', '📧', 'e mail', 'internet mail', 'message handling service', '.eml', 'anonymous mailer', 'benefits of e-mail', 'corporate email', 'courriel', 'e-address', 'e-mail account', 'e-mail header', 'e-mail headers', 'e-mail message', 'e-mailed', 'e-mails', 'e mails', 'electron mail', 'electronic mail box', 'electronic mails', 'electropost', 'email account', 'email accounts', 'email etiquettes', 'email header fields', 'email headers', 'email message', 'email security', 'email stationery', 'email system', 'email types', 'emailed', 'emails', 'how email works', 'inbox', 'internet message format', 'mail headers', 'mass email', 'outbox', 'paid email', 'premium e-mail', 'premium email', 'premiumemail', 'protected email', 'public email address', 'reply-to', 'reply all', 'rfc822', 'rfc 2822', 'rfc 5322', 'rfc 822', '📤', '📥', '📨', '📩', '🖄'];The advent of email has simultaneously brought our society closer together and farther apart.
activity;['production', 'manufacturing', 'average product', 'economic producer', 'economic production', 'producer theory', 'production economics', 'production in commerce', 'production theory basics', 'total product'];This is the final production model.
activity;['foul ball', 'foul', 'foul area', 'foul ground', 'foul territory', 'foulball'];It's a foul ball, up four rows of seats.
activity;['fair ball', 'fair ground', 'fair territory'];It's a... fair ball. it rolls into the corner. Jones is stretching for two. the throw — safe!
activity;['lawsuit', 'case', 'suit', 'cause', 'causa', 'legal case', 'court case', 'trial', 'civil court', 'case law', 'court action', 'court decision', 'judicial proceeding', 'legal dispute', 'legal issue', 'civil actions', 'civil case', 'civil court case', 'civil courts', 'civil lawsuit', 'filed suit', 'judicial proceedings', 'law suit', 'law suits', 'lawsuits', 'legal battle', 'legal battles', 'litigants', 'litigate', 'litigated', 'litigates', 'litigating', 'litigations', 'litigators', 'litigious', 'satellite litigation', 'sued', 'suing', 'suit in law'];The lawyer advised his client against filing a lawsuit as it would take a lot of time and money to resolve.
activity;['lawsuit', 'case', 'suit', 'cause', 'causa', 'legal case', 'court case', 'trial', 'civil court', 'case law', 'court action', 'court decision', 'judicial proceeding', 'legal dispute', 'legal issue', 'civil actions', 'civil case', 'civil court case', 'civil courts', 'civil lawsuit', 'filed suit', 'judicial proceedings', 'law suit', 'law suits', 'lawsuits', 'legal battle', 'legal battles', 'litigants', 'litigate', 'litigated', 'litigates', 'litigating', 'litigations', 'litigators', 'litigious', 'satellite litigation', 'sued', 'suing', 'suit in law'];If you take my advice, you'll file a suit against him immediately.
activity;['review'];The victims demanded a full judicial review of the case.
activity;['production'];The widgets are coming out of production now.
activity;['meter', 'metre', 'cadence', 'measure', 'beat', 'poetic metre', 'quantitative verse', 'metrics', 'hypermetric', 'meter in poetry', 'metre in poetry', 'poetic meter', 'qualitative meter', 'qualitative rhythm', 'quantitative meter', 'quantitative meters', 'quantitative metre', 'quantitative rhythm', 'scan', 'stress pattern', 'verse meter'];A poem in iambic measure.
activity;['confession'];I went to confession and now I feel much better about what I had done.
activity;['header'];His header for the goal followed a perfect corner kick.
activity;['hands', 'custody'];The court awarded custody to the child's father.
activity;['hitting', 'striking', 'hit'];The batter's hitting improved with practice.
activity;['straight ticket'];Sally voted a straight ticket for her political party.
activity;['split ticket'];Sally voted a split ticket for a Democrat and a Republican.
activity;['home run', 'homer', 'home runs', 'big fly', 'blast', 'bomb', 'cannon shot', 'circuit clout', 'deep fly', 'dinger', 'drive', 'four-bagger', 'four-base hit', 'going yard', 'goner', 'hr', 'jack', 'leaving the yard', 'long ball', 'moon shot', 'round tripper', 'ruthian blast', 'shot', 'tater', "touch 'em all", 'wallop', 'went deep', 'yardwork', 'back-to-back home runs', 'home-run', 'home-runs', 'home run cycle', 'homerun', 'homeruns', 'longest home run', 'solo home run', 'three-run homer', 'three-run shot', 'two-run homer', 'two-run shot'];The first baseman hit a homer to lead off the ninth.
activity;['knuckleball', 'knuckler', 'knuckle ball', 'knuckleballer', 'knuckleballs'];Even the pitcher doesn't know where his knuckleball is going.
activity;['knuckleball', 'knuckler', 'knuckle ball', 'knuckleballer', 'knuckleballs'];Boston Red Sox pitcher Tim Wakefield is best known for his use of the knuckleball.
activity;['change-up', 'off-speed pitch', 'change-of-pace', 'change-of-pace ball', 'changeup', 'junk', 'change up', 'junk ball', 'junk pitch', 'straight changeup'];The pitcher had a devastating change-up.
activity;['fastball', 'heater', 'smoke', 'hummer', 'bullet', 'fast ball', 'fastballs', 'rising fastball', 'two-seam'];Jones threw a heater under his chin.
activity;['fastball', 'heater', 'smoke', 'hummer', 'bullet', 'fast ball', 'fastballs', 'rising fastball', 'two-seam'];The pitcher had a blazing fastball.
activity;['gig'];The Stones were gigging around Richmond at the time.
activity;['fight', 'contend', 'struggle'];To fight cocks. to fight one's ship.
activity;['short shrift', 'summary treatment'];The bank gave me short shrift when I applied for a loan.
activity;['shower', 'rain shower', 'chubasco'];Today there will be frequent showers and some sunny spells.
activity;['going over'];When the mob men finally found him, they gave him a good going over that left him clinging to life.
activity;['marbles'];Egyptian boys played marbles before the days of Moses.
